path;chunks
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-313_20190923-195606_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.085835785, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.11971224, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.032955684, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.070066415, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.19312601, 'number': 5}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-1225_20190923-192434_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.03491918, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.0046300264, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.010872162, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.008373978, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.029482065, 'number': 5}, {'from': 75000, 'to': 90000, 'aggr_level': 0.03296819, 'number': 6}, {'from': 90000, 'to': 105000, 'aggr_level': 0.110690184, 'number': 7}, {'from': 105000, 'to': 120000, 'aggr_level': 0.05742066, 'number': 8}, {'from': 120000, 'to': 135000, 'aggr_level': 0.10621301, 'number': 9}, {'from': 135000, 'to': 150000, 'aggr_level': 0.10465998, 'number': 10}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-622_20190923-194253_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.24716124, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.55939716, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.280189, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.15459393, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.23035902, 'number': 5}, {'from': 75000, 'to': 90000, 'aggr_level': 0.52780306, 'number': 6}, {'from': 90000, 'to': 105000, 'aggr_level': 0.42226234, 'number': 7}, {'from': 105000, 'to': 120000, 'aggr_level': 0.070489675, 'number': 8}, {'from': 120000, 'to': 135000, 'aggr_level': 0.31267774, 'number': 9}, {'from': 135000, 'to': 150000, 'aggr_level': 0.3028149, 'number': 10}, {'from': 150000, 'to': 165000, 'aggr_level': 0.011662403, 'number': 11}, {'from': 165000, 'to': 180000, 'aggr_level': 0.32948253, 'number': 12}, {'from': 180000, 'to': 195000, 'aggr_level': 0.24583663, 'number': 13}, {'from': 195000, 'to': 210000, 'aggr_level': 0.055345464, 'number': 14}, {'from': 210000, 'to': 225000, 'aggr_level': 0.100703016, 'number': 15}, {'from': 225000, 'to': 240000, 'aggr_level': 0.0816658, 'number': 16}, {'from': 240000, 'to': 255000, 'aggr_level': 0.2166362, 'number': 17}, {'from': 255000, 'to': 270000, 'aggr_level': 0.32901675, 'number': 18}, {'from': 270000, 'to': 285000, 'aggr_level': 0.321464, 'number': 19}, {'from': 285000, 'to': 300000, 'aggr_level': 0.4317711, 'number': 20}, {'from': 300000, 'to': 315000, 'aggr_level': 0.4636225, 'number': 21}, {'from': 315000, 'to': 330000, 'aggr_level': 0.6313491, 'number': 22}, {'from': 330000, 'to': 345000, 'aggr_level': 0.13045405, 'number': 23}, {'from': 345000, 'to': 360000, 'aggr_level': 0.27328116, 'number': 24}, {'from': 360000, 'to': 375000, 'aggr_level': 0.12686747, 'number': 25}, {'from': 375000, 'to': 390000, 'aggr_level': 0.22167264, 'number': 26}, {'from': 390000, 'to': 405000, 'aggr_level': 0.25762287, 'number': 27}, {'from': 405000, 'to': 420000, 'aggr_level': 0.13627969, 'number': 28}, {'from': 420000, 'to': 435000, 'aggr_level': 0.24386576, 'number': 29}, {'from': 435000, 'to': 450000, 'aggr_level': 0.043570437, 'number': 30}, {'from': 450000, 'to': 465000, 'aggr_level': 0.2924569, 'number': 31}, {'from': 465000, 'to': 480000, 'aggr_level': 0.29634613, 'number': 32}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-281_20190924-195356_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.40518695, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.26533997, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.066627264, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.12751089, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.16596793, 'number': 5}, {'from': 75000, 'to': 90000, 'aggr_level': 0.41055202, 'number': 6}, {'from': 90000, 'to': 105000, 'aggr_level': 0.05650144, 'number': 7}, {'from': 105000, 'to': 120000, 'aggr_level': 0.053347707, 'number': 8}, {'from': 120000, 'to': 135000, 'aggr_level': 0.47181457, 'number': 9}, {'from': 135000, 'to': 150000, 'aggr_level': 0.28178856, 'number': 10}, {'from': 150000, 'to': 165000, 'aggr_level': 0.053086743, 'number': 11}, {'from': 165000, 'to': 180000, 'aggr_level': 0.3736984, 'number': 12}, {'from': 180000, 'to': 195000, 'aggr_level': 0.47389525, 'number': 13}, {'from': 195000, 'to': 210000, 'aggr_level': 0.31615448, 'number': 14}, {'from': 210000, 'to': 225000, 'aggr_level': 0.07396589, 'number': 15}, {'from': 225000, 'to': 240000, 'aggr_level': 0.31095695, 'number': 16}, {'from': 240000, 'to': 255000, 'aggr_level': 0.60641587, 'number': 17}, {'from': 255000, 'to': 270000, 'aggr_level': 0.24051632, 'number': 18}, {'from': 270000, 'to': 285000, 'aggr_level': 0.45155737, 'number': 19}, {'from': 285000, 'to': 300000, 'aggr_level': 0.25534272, 'number': 20}, {'from': 300000, 'to': 315000, 'aggr_level': 0.22796683, 'number': 21}, {'from': 315000, 'to': 330000, 'aggr_level': 0.17985389, 'number': 22}, {'from': 330000, 'to': 345000, 'aggr_level': 0.09433906, 'number': 23}, {'from': 345000, 'to': 360000, 'aggr_level': 0.09663126, 'number': 24}, {'from': 360000, 'to': 375000, 'aggr_level': 0.10482505, 'number': 25}, {'from': 375000, 'to': 390000, 'aggr_level': 0.08552851, 'number': 26}, {'from': 390000, 'to': 405000, 'aggr_level': 0.22023371, 'number': 27}, {'from': 405000, 'to': 420000, 'aggr_level': 0.15615202, 'number': 28}, {'from': 420000, 'to': 435000, 'aggr_level': 0.18365875, 'number': 29}, {'from': 435000, 'to': 450000, 'aggr_level': 0.16633901, 'number': 30}, {'from': 450000, 'to': 465000, 'aggr_level': 0.26851135, 'number': 31}, {'from': 465000, 'to': 480000, 'aggr_level': 0.15213674, 'number': 32}, {'from': 480000, 'to': 495000, 'aggr_level': 0.30947632, 'number': 33}, {'from': 495000, 'to': 510000, 'aggr_level': 0.55156857, 'number': 34}, {'from': 510000, 'to': 525000, 'aggr_level': 0.122148946, 'number': 35}, {'from': 525000, 'to': 540000, 'aggr_level': 0.15779597, 'number': 36}, {'from': 540000, 'to': 555000, 'aggr_level': 0.26289868, 'number': 37}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-565_20190925-211920_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.05160121, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.059049632, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.32894185, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.027975086, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.17541458, 'number': 5}, {'from': 75000, 'to': 90000, 'aggr_level': 0.3054305, 'number': 6}, {'from': 90000, 'to': 105000, 'aggr_level': 0.53267133, 'number': 7}, {'from': 105000, 'to': 120000, 'aggr_level': 0.046981417, 'number': 8}, {'from': 120000, 'to': 135000, 'aggr_level': 0.06531538, 'number': 9}, {'from': 135000, 'to': 150000, 'aggr_level': 0.04361742, 'number': 10}, {'from': 150000, 'to': 165000, 'aggr_level': 0.121544234, 'number': 11}, {'from': 165000, 'to': 180000, 'aggr_level': 0.17998114, 'number': 12}, {'from': 180000, 'to': 195000, 'aggr_level': 0.046438508, 'number': 13}, {'from': 195000, 'to': 210000, 'aggr_level': 0.30912793, 'number': 14}, {'from': 210000, 'to': 225000, 'aggr_level': 0.17217073, 'number': 15}, {'from': 225000, 'to': 240000, 'aggr_level': 0.10636773, 'number': 16}, {'from': 240000, 'to': 255000, 'aggr_level': 0.29509938, 'number': 17}, {'from': 255000, 'to': 270000, 'aggr_level': 0.23089647, 'number': 18}, {'from': 270000, 'to': 285000, 'aggr_level': 0.09330112, 'number': 19}, {'from': 285000, 'to': 300000, 'aggr_level': 0.027760457, 'number': 20}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-947_20190925-185611_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.5959375, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.51545393, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.567413, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.5398566, 'number': 4}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-1246_20190923-183227_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.04451601, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.10737952, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.06553965, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.09341977, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.12473866, 'number': 5}, {'from': 75000, 'to': 90000, 'aggr_level': 0.14384589, 'number': 6}, {'from': 90000, 'to': 105000, 'aggr_level': 0.06145256, 'number': 7}, {'from': 105000, 'to': 120000, 'aggr_level': 0.15840924, 'number': 8}, {'from': 120000, 'to': 135000, 'aggr_level': 0.37829626, 'number': 9}, {'from': 135000, 'to': 150000, 'aggr_level': 0.18016556, 'number': 10}, {'from': 150000, 'to': 165000, 'aggr_level': 0.13437837, 'number': 11}, {'from': 165000, 'to': 180000, 'aggr_level': 0.3103148, 'number': 12}, {'from': 180000, 'to': 195000, 'aggr_level': 0.18934403, 'number': 13}, {'from': 195000, 'to': 210000, 'aggr_level': 0.065027446, 'number': 14}, {'from': 210000, 'to': 225000, 'aggr_level': 0.21175447, 'number': 15}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-964_20190924-200934_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.12760313, 'number': 1}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-1010_20190925-210126_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.08929246, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.02364666, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.018061837, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.00865436, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.0071629556, 'number': 5}, {'from': 75000, 'to': 90000, 'aggr_level': 0.0026552265, 'number': 6}, {'from': 90000, 'to': 105000, 'aggr_level': 0.044044383, 'number': 7}, {'from': 105000, 'to': 120000, 'aggr_level': 0.008081823, 'number': 8}, {'from': 120000, 'to': 135000, 'aggr_level': 0.010898296, 'number': 9}, {'from': 135000, 'to': 150000, 'aggr_level': 0.008780445, 'number': 10}, {'from': 150000, 'to': 165000, 'aggr_level': 0.016444292, 'number': 11}, {'from': 165000, 'to': 180000, 'aggr_level': 0.013498545, 'number': 12}, {'from': 180000, 'to': 195000, 'aggr_level': 0.009304289, 'number': 13}, {'from': 195000, 'to': 210000, 'aggr_level': 0.004760546, 'number': 14}, {'from': 210000, 'to': 225000, 'aggr_level': 0.016472692, 'number': 15}, {'from': 225000, 'to': 240000, 'aggr_level': 0.0073060514, 'number': 16}, {'from': 240000, 'to': 255000, 'aggr_level': 0.004095787, 'number': 17}, {'from': 255000, 'to': 270000, 'aggr_level': 0.0033849878, 'number': 18}]
/home/gpn/Voice_emotion_zdy/gpn_prod_check/device-712_20190923-171026_speech.mp3;[{'from': 0, 'to': 15000, 'aggr_level': 0.18526222, 'number': 1}, {'from': 15000, 'to': 30000, 'aggr_level': 0.17155416, 'number': 2}, {'from': 30000, 'to': 45000, 'aggr_level': 0.26007235, 'number': 3}, {'from': 45000, 'to': 60000, 'aggr_level': 0.14993982, 'number': 4}, {'from': 60000, 'to': 75000, 'aggr_level': 0.11695308, 'number': 5}, {'from': 75000, 'to': 90000, 'aggr_level': 0.19588572, 'number': 6}, {'from': 90000, 'to': 105000, 'aggr_level': 0.25132382, 'number': 7}, {'from': 105000, 'to': 120000, 'aggr_level': 0.3153917, 'number': 8}, {'from': 120000, 'to': 135000, 'aggr_level': 0.26144272, 'number': 9}]
