,dataset,filename,actor,emotion,length,gender,set
1,youtube_audio_negative,vad_tokens/-EVi6JeGznc_55_chunk1.wav,1,angry,23.04,male,test
2,youtube_audio_negative,vad_tokens/0OSjadj7Dzk_39_chunk1.wav,2,angry,15.023991,male,train
3,youtube_audio_negative,vad_tokens/0OSjadj7Dzk_40_chunk1.wav,3,angry,4.32,male,train
4,youtube_audio_negative,vad_tokens/0OSjadj7Dzk_40_chunk2.wav,4,angry,12.263991,male,train
5,youtube_audio_negative,vad_tokens/0OSjadj7Dzk_41_chunk1.wav,5,angry,28.032018,male,train
6,youtube_audio_negative,vad_tokens/1fmsHMMgric_197_chunk1.wav,6,angry,27.023991,male,train
7,youtube_audio_negative,vad_tokens/1fmsHMMgric_198_chunk1.wav,7,angry,60.023991,male,train
8,youtube_audio_negative,vad_tokens/3teUMuONx8U_178_chunk1.wav,8,angry,26.04,male,train
9,youtube_audio_negative,vad_tokens/3teUMuONx8U_179_chunk1.wav,9,angry,6.023991,male,train
10,youtube_audio_negative,vad_tokens/3teUMuONx8U_180_chunk1.wav,10,angry,5.04,male,train
11,youtube_audio_negative,vad_tokens/3teUMuONx8U_181_chunk1.wav,11,angry,22.032018,male,train
12,youtube_audio_negative,vad_tokens/3teUMuONx8U_182_chunk1.wav,12,angry,4.032018,male,train
13,youtube_audio_negative,vad_tokens/3teUMuONx8U_183_chunk1.wav,13,angry,3.287982,male,train
14,youtube_audio_negative,vad_tokens/3teUMuONx8U_183_chunk2.wav,14,angry,4.247982,male,train
15,youtube_audio_negative,vad_tokens/3teUMuONx8U_184_chunk1.wav,15,angry,11.04,male,test
16,youtube_audio_negative,vad_tokens/3teUMuONx8U_185_chunk1.wav,16,angry,3.023991,male,train
17,youtube_audio_negative,vad_tokens/3teUMuONx8U_186_chunk1.wav,17,angry,4.032018,male,train
18,youtube_audio_negative,vad_tokens/3teUMuONx8U_187_chunk1.wav,18,angry,12.023991,male,test
19,youtube_audio_negative,vad_tokens/3teUMuONx8U_188_chunk1.wav,19,angry,14.04,male,train
20,youtube_audio_negative,vad_tokens/53rGa3sfu_A_56_chunk1.wav,20,angry,4.032018,male,train
21,youtube_audio_negative,vad_tokens/53rGa3sfu_A_57_chunk1.wav,21,angry,8.04,male,test
22,youtube_audio_negative,vad_tokens/5PbPTyi_Ppk_255_chunk1.wav,22,angry,18.311837,male,train
23,youtube_audio_negative,vad_tokens/5PbPTyi_Ppk_255_chunk2.wav,23,angry,3.552653,male,test
24,youtube_audio_negative,vad_tokens/5PbPTyi_Ppk_255_chunk3.wav,24,angry,69.564082,male,train
25,youtube_audio_negative,vad_tokens/5PbPTyi_Ppk_255_chunk4.wav,25,angry,126.249796,male,train
